iter	RMSE
658	0.9836738822
659	0.9833103329
660	0.9829635419
661	0.9823324123
662	0.9815259569
663	0.9811109691
664	0.9794112872
665	0.9779411319
666	0.9771451627
667	0.97658957
668	0.9765638496
669	0.9759605948
670	0.9749684762
671	0.974540031
672	0.9741079291
673	0.9735257314
674	0.9733889444
675	0.9727802692
676	0.9723829878
677	0.9718582173
678	0.9707954258
679	0.9700956864
680	0.9700051766
681	0.9692899159
682	0.9686122975
683	0.9677512737
684	0.9671389577
685	0.9667808081
686	0.9662663823
687	0.9656782618
688	0.9656582975
689	0.9652129884
690	0.9646377165
691	0.9640706328
692	0.9629616281
693	0.9620204552
694	0.9615265895
695	0.9609535523
696	0.9603539482
697	0.9597505433
698	0.9586262826
699	0.9576247205
700	0.9570673268
701	0.9566777486
702	0.9559737593
703	0.9552881453
704	0.9544907232
705	0.9536711822
706	0.9530430331
707	0.9525626559
708	0.9520207837
709	0.9515845098
710	0.9513378613
711	0.9507896651
712	0.9507705736
713	0.9499290918
714	0.9490234114
715	0.9483648818
716	0.9480265368
717	0.947419301
718	0.9473756975
719	0.946744736
720	0.9463701263
721	0.9457981544
722	0.9451800929
723	0.9446588078
724	0.9443390991
725	0.9439395149
726	0.9436202267
727	0.9432408466
728	0.9425611307
729	0.942125316
730	0.9416475618
731	0.9410629288
732	0.9401203002
733	0.9389243589
734	0.9387204221
735	0.9384246938
736	0.9381547432
737	0.9380510495
738	0.9373791635
739	0.9370323393
740	0.9366009091
741	0.9359488695
742	0.9355810579
743	0.9355071598
744	0.9351074154
745	0.9347248053
746	0.9341812993
747	0.9336467639
748	0.9331762045
749	0.9328429616
750	0.9324934984
751	0.9321410045
752	0.9311868205
753	0.930601417
754	0.9299485436
755	0.9291680557
756	0.9283868575
757	0.9275725493
758	0.927085808
759	0.9266466691
760	0.9264428072
761	0.9256996582
762	0.924628057
763	0.9241287984
764	0.9236900078
765	0.9233875884
766	0.9230200216
767	0.9224609661
768	0.9218407714
769	0.9209226022
770	0.9204331329
771	0.91997576
772	0.9194583639
773	0.918956336
774	0.9178329737
775	0.916969235
776	0.9164789919
777	0.9161140708
778	0.9150416085
779	0.9139544176
780	0.9129652813
781	0.9123781877
782	0.9117093019
783	0.9113476916
784	0.9107317772
785	0.9098713423
786	0.9095310939
787	0.9087476454
788	0.9087066346
789	0.9080557409
790	0.9079902309
791	0.9079780041
792	0.9074913799
793	0.9063768276
794	0.9058827711
795	0.9054036284
796	0.9048732014
797	0.904644578
798	0.9040244316
799	0.9036733982
800	0.9032251677
801	0.9026395044
802	0.9015417614
803	0.9012730486
804	0.9010386876
805	0.9001670059
806	0.8997889839
807	0.8993952756
808	0.8987087363
809	0.8982979764
810	0.8978668283
811	0.8970270188
812	0.8964927587
813	0.8959148285
814	0.895163709
815	0.8947286336
816	0.8939485668
817	0.89335437
818	0.8932950762
819	0.8926583943
820	0.8920051704
821	0.8916357314
822	0.8906889809
823	0.8901799649
824	0.8898474701
825	0.8890067159
826	0.8884070051
827	0.8877743384
828	0.8873581555
829	0.8868169526
830	0.8860496163
831	0.885600464
832	0.8850294919
833	0.884026319
834	0.8836463547
835	0.8832667402
836	0.8830784626
837	0.8827519846
838	0.8823250977
839	0.8816940517
840	0.8810776789
841	0.8807700776
842	0.8801845892
843	0.8797656917
844	0.8793453042
845	0.878807842
846	0.8787765346
847	0.8780034735
848	0.8776823374
849	0.8770387103
850	0.8765956536
851	0.8762668935
852	0.875546065
853	0.8751366142
854	0.874274332
855	0.8736636269
856	0.8736490031
857	0.8736350327
858	0.8731438017
859	0.8724022362
860	0.8720597396
861	0.8716707198
862	0.8711508058
863	0.8708591324
864	0.8702583378
865	0.8699771925
866	0.8693356885
867	0.8686458324
868	0.8682259339
869	0.8678091157
870	0.8672401083
871	0.8668395112
872	0.8663156632
873	0.8659299404
874	0.8653259819
875	0.8646937012
876	0.8640001498
877	0.8637331624
878	0.8633308656
879	0.8625711084
880	0.8619653255
881	0.8615242872
882	0.8609396833
883	0.8606216889
884	0.8602032924
885	0.8596088492
886	0.8591179482
887	0.8588811464
888	0.8585738922
889	0.8579961186
890	0.8576065362
891	0.8569037853
892	0.8566262147
893	0.8563463556
894	0.8560709836
895	0.8547823712
896	0.8544130116
897	0.8540360325
898	0.8533730146
899	0.8526366586
900	0.8519947993
901	0.8512576543
902	0.8507826051
903	0.8504498644
904	0.850340858
905	0.8499328655
906	0.8493005221
907	0.8488714672
908	0.8486495898
909	0.8483746976
910	0.847308228
911	0.8470233207
912	0.8463609274
913	0.8461110985
914	0.8456848378
915	0.8452622193
916	0.8449066724
917	0.8448860621
918	0.8442485815
919	0.8439468608
920	0.8435045308
921	0.8430699777
922	0.8428028576
923	0.8423422644
924	0.841788667
925	0.8413049072
926	0.8409074105
927	0.8402942154
928	0.8396390558
929	0.8393843936
930	0.8389147203
931	0.8385035491
932	0.8377955613
933	0.837206206
934	0.8371039782
935	0.8366023001
936	0.8361819388
937	0.8358557968
938	0.83550334
939	0.8351450767
940	0.8345390577
941	0.8341431756
942	0.8337845108
943	0.8334345644
944	0.8331925141
945	0.833180161
946	0.8328475397
947	0.8326094019
948	0.8325957751
949	0.8324004967
950	0.832112884
951	0.8314367987
952	0.830748983
953	0.8304678379
954	0.8299993666
955	0.829086624
956	0.828677129
957	0.8284010949
958	0.827648714
959	0.8271631189
960	0.8269860951
961	0.8261329467
962	0.8256529182
963	0.8252884927
964	0.8249464912
965	0.8244800481
966	0.8240675822
967	0.8239255354
968	0.8236358956
969	0.8233263228
970	0.8231704559
971	0.8229613901
972	0.8224217506
973	0.8220511162
974	0.8218626275
975	0.8214869085
976	0.8208181648
977	0.8203302069
978	0.8199642659
979	0.8197341754
980	0.8195855439
981	0.8189917494
982	0.8180006533
983	0.8176779058
984	0.8173851574
985	0.816299158
986	0.8159920663
987	0.8157379849
988	0.8153586768
989	0.8149895341
990	0.8147058975
991	0.8144413405
992	0.8139232693
993	0.8134769223
994	0.8127490595
995	0.8125457403
996	0.8122864809
997	0.8120050961
998	0.8117028611
999	0.8112216698
28019
999	0.8145745891
389803
0.8052625438
999	0.8046847711
